year,session,code,unit,max_mark,A*,A,B,C,D,E
2022,june,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,,59,51,43,36,29
2022,june,FM03,FURTHER MATHS UNIT 3 (FP2),120,100,88,76,64,53,42
2022,june,FM04,FURTHER MATHS UNIT 4 (FS2),80,62,54,46,39,32,25
2022,june,FM05,FURTHER MATHS UNIT 5 (FM2),80,65,58,51,44,37,30
2022,june,MA01,MATHS UNIT 1 (P1),80,,58,50,42,34,27
2022,june,MA02,MATHS UNIT 2 (PSM1),80,,60,52,44,37,30
2022,june,MA03,MATHS UNIT 3 (P2),120,102,90,78,67,56,45
2022,june,MA04,MATHS UNIT 4 (S2),80,69,61,53,45,37,30
2022,june,MA05,MATHS UNIT 5 (M2),80,68,60,52,44,36,29
2022,june,PH01,PHYSICS UNIT 1,80,,47,42,37,32,27
2022,june,PH02,PHYSICS UNIT 2,80,,51,45,39,33,28
2022,june,PH03,PHYSICS UNIT 3,80,53,48,43,38,33,28
2022,june,PH04,PHYSICS UNIT 4,80,58,52,46,40,34,29
2022,june,PH05,PHYSICS UNIT 5,80,58,52,46,40,35,30
2022,june,PS01,PSYCHOLOGY UNIT 1,90,,59,51,43,36,29
2022,june,PS02,PSYCHOLOGY UNIT 2,90,,65,56,47,39,31
2022,june,PS03,PSYCHOLOGY UNIT 3,90,72,63,54,45,36,28
2022,june,PS04,PSYCHOLOGY UNIT 4,90,72,62,52,43,34,25
